"Loc";"Region desde endémica";"Hos";"AÑO";"campaña";"hap_id";"B1";"B1a";"B2";"B3a";"B3b";"B3c";"B4";"B5";"B6";"B7";"B8";"B9a";"B9b";"B9c";"B10a";"B10b";"BE";"B5a"
"JM";"Norte de endémica";"M";2;102;47;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;51;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;55;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;57;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;59;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";2;102;60;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";2;102;61;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;98;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";3;203;2;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;4;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;6;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0
"JM";"Norte de endémica";"M";3;203;9;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;11;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;14;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"JM";"Norte de endémica";"M";3;203;15;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8362;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8413;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8414;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8416;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8418;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8430;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8431;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
"RC";"endémica";"M";4;304;8432;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
